variants,batchSeed,metaPowerMultiplier,permanentMissChance,pickupReactionSeconds,pickupReactionJitterSeconds,pickupActionIntervalSeconds,perkDecisionSeconds,simulationHz,totalWaves,runIndex,gameplaySeed,botSeed,win,timedOut,activeDurationSeconds,estimatedWallDurationSeconds,waveReached,level,perkDecisions,kills,merges,formed3Star,locked3Star,consumes,dropsGenerated,collected,expired,cardsFull,permanentlyMissedDrops,unresolvedDrops,expiredRate,collectedRate,mergesBeforeBoss,mergesPerRegularWave,breatherSeconds,breatherShare,bossReached,bossKilled,bossBreached,bossEntryFormed3Star,bossEntryLocked3Star,bossEntryCollected,bossSpawnFormed3Star,bossSpawnLocked3Star,bossSpawnCollected,preBossKillFormed3Star,preBossKillLocked3Star,preBossKillCollected,bossFightDurationSeconds,bossShare,peakEnemies,peakBullets,peakDrops,peakParticles
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,166,2617124955,1707924128,false,false,740.0666666666509,758.0666666666509,9,7,6,179,18,5,3,2,32,30,2,2,2,0,0.0625,0.9375,16,2,159.73333333332567,0.2158364111341263,1,0,1,5,3,24,5,3,30,0,0,0,0,0,3,3,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,167,3812811456,3006015671,false,false,805.0333333332585,823.0333333332585,9,7,6,179,24,7,3,6,42,40,2,6,2,0,0.047619047619047616,0.9523809523809523,22,2.75,159.73333333332567,0.19841828495715355,1,0,1,6,3,36,7,3,40,0,0,0,0,0,6,11,1,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,168,1894926263,3091468205,false,false,756.2333333333029,771.2333333333029,9,6,5,179,18,5,3,4,35,30,5,4,5,0,0.14285714285714285,0.8571428571428571,16,2,159.73333333332567,0.21122228589059652,1,0,1,4,3,24,4,3,29,0,0,0,0,0,5,11,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,169,1343395008,3077451486,false,false,805.4666666665914,820.4666666665914,9,6,5,179,18,5,2,5,36,32,4,5,4,0,0.1111111111111111,0.8888888888888888,15,1.875,159.73333333332567,0.19831153782487246,1,0,1,4,2,24,5,2,32,0,0,0,0,0,7,6,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,170,3083524862,3128302937,false,false,801.133333333262,819.133333333262,9,7,6,179,22,6,3,16,56,48,8,16,8,0,0.14285714285714285,0.8571428571428571,22,2.75,159.73333333332567,0.1993842057085877,1,0,1,6,3,41,6,3,48,0,0,0,0,0,6,8,3,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,171,3692811832,1601863949,false,false,802.333333333261,820.333333333261,9,7,6,179,21,6,3,4,44,33,11,4,11,0,0.25,0.75,13,1.625,159.73333333332567,0.19908599916909858,1,0,1,3,3,23,6,3,33,0,0,0,0,0,3,4,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,172,260346616,1777829146,false,false,796.6666666665994,814.6666666665994,9,7,6,179,20,5,3,5,41,34,7,5,7,0,0.17073170731707318,0.8292682926829268,18,2.25,159.73333333332567,0.20050209205021652,1,0,1,5,3,28,5,3,34,0,0,0,0,0,7,8,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,173,2363802864,251246025,false,false,812.9666666665846,830.9666666665846,9,7,6,179,18,5,3,2,36,28,8,2,8,0,0.2222222222222222,0.7777777777777778,15,1.875,159.73333333332567,0.19648202058306014,1,0,1,4,3,26,4,3,27,0,0,0,0,0,7,13,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,174,3472932576,2670432390,true,false,798.7333333332642,816.7333333332642,9,7,6,180,17,5,3,0,32,26,6,0,6,0,0.1875,0.8125,16,2,159.73333333332567,0.1999833069026035,1,1,0,5,3,23,5,3,25,5,3,25,143.86666666653582,0.18011852099142175,5,11,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,175,35922449,1183517001,false,false,796.7999999999327,814.7999999999327,9,7,6,179,23,7,3,10,52,41,11,10,11,0,0.21153846153846154,0.7884615384615384,20,2.5,159.73333333332567,0.20046854082999394,1,0,1,6,3,33,6,3,40,0,0,0,0,0,4,3,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,176,3309073840,2474689324,false,false,776.0666666666182,794.0666666666182,9,7,6,179,23,7,3,9,50,42,8,9,8,0,0.16,0.84,22,2.75,159.73333333332567,0.20582424190361953,1,0,1,7,3,35,7,3,39,0,0,0,0,0,6,8,4,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,177,1709810134,1706985734,false,false,817.1999999999141,835.1999999999141,9,7,6,179,22,6,3,6,45,38,7,6,7,0,0.15555555555555556,0.8444444444444444,19,2.375,159.73333333332567,0.19546418665362514,1,0,1,5,3,31,6,3,38,0,0,0,0,0,5,5,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,178,2231219360,3165967807,false,false,795.2666666666007,810.2666666666007,9,6,5,179,16,5,3,0,37,25,12,0,12,0,0.32432432432432434,0.6756756756756757,12,1.5,159.73333333332567,0.2008550590996801,1,0,1,3,2,20,5,3,24,0,0,0,0,0,4,8,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,179,4086400158,1411118034,false,false,761.5999999999647,776.5999999999647,9,6,5,179,21,6,3,7,42,38,4,7,4,0,0.09523809523809523,0.9047619047619048,18,2.25,159.73333333332567,0.20973389355742264,1,0,1,5,3,31,6,3,38,0,0,0,0,0,5,11,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,180,3396149480,2643783067,true,false,822.3666666665761,840.3666666665761,9,7,6,180,20,6,3,2,38,31,7,2,7,0,0.18421052631578946,0.8157894736842105,16,2,159.73333333332567,0.19423614770379385,1,1,0,5,3,24,5,3,30,5,3,30,158.9999999998554,0.1933444124679254,6,11,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,181,1539862456,2124321942,false,false,768.7333333332915,783.7333333332915,9,6,5,179,15,4,3,0,27,24,3,0,3,0,0.1111111111111111,0.8888888888888888,9,1.125,159.73333333332567,0.20778770271442334,1,0,1,2,2,17,4,3,24,0,0,0,0,0,6,11,2,0
